i1_1	0.332154014	0.326256511	0.341589475
i1_2	0.337746298	0.33012344	0.332130263
i1_3	0.341708061	0.328692318	0.329599621
i1_4	0.336355492	0.326992313	0.336652195
i1_5	0.328958416	0.335111677	0.335929907
i2_1	0.363868757	0.325188886	0.310942357
i2_2	0.337642437	0.318186272	0.344171291
i2_3	0.311829726	0.3367269	0.351443374
i2_4	0.333156943	0.329739195	0.337103861
i2_5	0.302163077	0.339975611	0.357861312
i3_1	0.276257975	0.349887299	0.373854726
i3_2	0.337908234	0.328249119	0.333842646
i3_3	0.275869977	0.348200271	0.375929752
i3_4	0.323984078	0.323062982	0.352952941
i3_5	0.308206852	0.336180799	0.355612349
i4_1	0.319755679	0.324693228	0.355551094
i4_2	0.309017247	0.33035625	0.360626503
i4_3	0.29845456	0.325600317	0.375945123
i4_4	0.293864901	0.322369059	0.38376604
i4_5	0.297573865	0.330373414	0.37205272
i5_1	0.309228121	0.328103594	0.362668285
i5_2	0.311501698	0.331231309	0.357266993
i5_3	0.278149301	0.330746506	0.391104193
i5_4	0.28959758	0.33031032	0.3800921
i5_5	0.300169214	0.320010468	0.379820318
i6_1	0.325069347	0.330820967	0.344109686
i6_2	0.340050645	0.32216499	0.337784365
i6_3	0.323268613	0.330832953	0.345898434
i6_4	0.317112278	0.330199642	0.352688081
i6_5	0.322799136	0.344101241	0.333099623
i7_1	0.330952691	0.279368495	0.389678813
i7_2	0.309551012	0.329574258	0.36087473
i7_3	0.312096124	0.330702454	0.357201422
i7_4	0.341061796	0.329854434	0.32908377
i7_5	0.289823252	0.318307021	0.391869726
i8_1	0.299336668	0.349757019	0.350906312
i8_2	0.321566986	0.331217818	0.347215196
i8_3	0.313105719	0.331088307	0.355805974
i8_4	0.319760752	0.330618148	0.3496211
i8_5	0.274782387	0.339776514	0.385441099
i9_1	0.340521322	0.332089207	0.327389471
i9_2	0.337202651	0.331585923	0.331211426
i9_3	0.324081635	0.328136343	0.347782022
i9_4	0.314991426	0.333541747	0.351466827
i9_5	0.343258885	0.332044956	0.324696159
i10_1	0.323489374	0.324853644	0.351656982
i10_2	0.303395353	0.328552376	0.368052271
i10_3	0.314429603	0.326590239	0.358980158
i10_4	0.322933029	0.331370003	0.345696968
i10_5	0.325653943	0.332298029	0.342048028
